ID,Nume,Nr_Camere,Metri_Patrati,Pret,Localizare
V0D00I3892G," Apartament spaţios şi luminos, 3 camere, vedere panoramica ",3 camere,61 mp utili,61.500 EUR,"Bucuresti, Sector 6, zona Drumul Taberei "
6LA10003HCM, Penthouse 5 camere-New Town-Dristor -amenajari deosebite ,5 camere,167 mp utili,300.000 EUR,"Bucuresti, Sector 3, zona Dristor "
3AI1000419E, Apartament deosebit 3 camere Primaverii 80 mp cu acces catre curte ,3 camere,78.65 mp utili,258.000 EUR,"Bucuresti, Sector 1, zona Televiziune (Dorobanti) "
9VE00I06PRU, Garsoniera BLOC NOU 2018 Luica/Dealu Alunis ,o cameră,34 mp utili,34.000 EUR,"Bucuresti, Sector 4, zona Brancoveanu (Berceni) "
V0D00I6AVDB," Apartament 3 camere semimobilat, Bucurestii Noi - Parc Bazilescu ",3 camere,68 mp utili,82.900 EUR,"Bucuresti, Sector 1, zona Bucurestii Noi "
55I00I0B566, Rezidential Nou Neofort 10 Sector 2 Garsoniera pentru investitie la cheie lux ,o cameră,37.6 mp utili,32.260 EUR + TVA,"Bucuresti, Sector 2, zona Doamna Ghica (Colentina) "
V0D00I6TF1V, Brancoveanu metrou zona de 4 etaje linistita ,3 camere,75 mp utili,110.000 EUR,"Bucuresti, zona Brancoveanu (Berceni) "
3PR109CUNQ3, Vanzari Apartamente 4 Camere Zona Virtutii ,4 camere,83 mp utili,79.900 EUR,"Bucuresti, Sector 6, zona Militari "
A1V100001L2, 4 CAMERE DAMAROAIA IZBICENI JIULUI ,4 camere,90 mp utili,131.000 EUR,"Bucuresti, zona Bucurestii Noi "
98U00I56GH4," New Pipera Residence One, 2 camere etaj 1, Faza1,bloc finalizat ",2 camere,58 mp utili,61.900 EUR,"Bucuresti, Sector 1, zona Pipera "
1UR1000EIRI," Apartament luminos cu 4 camere, langa parc si metrou ",4 camere,150 mp utili,325.000 EUR,"Bucuresti, zona Soseaua Nordului (Herastrau) "
4TL00I6QNFH, Vanzare apartament 2 camere Unirii- Nerva Traian- Foisorului ,2 camere,59 mp utili,112.000 EUR,"Bucuresti, Sector 3, zona Nerva Traian (Unirii) "
6OV00I2FCAH, Timpuri Noi - Tineretului - Facultatea Titu Maiorescu ,2 camere,62 mp utili,72.000 EUR,"Bucuresti, zona Timpuri Noi (Tineretului) "
A0U1000064V, 3 camere Berceni Obregia ,3 camere,59 mp utili,67.900 EUR,"Bucuresti, zona Alexandru Obregia (Berceni) "
